Nombre variable,Tipo de dato,Formato,Unidad de medida,Descripci√≥n,Identificadores,Cat√°logo de referencia,Detalle de relaci√≥n con cat√°logos,Identificador de valores nulos,Ejemplo de dato
fec_fin_trat_ricket,Fecha,aaaa-mm-dd,,Fecha de termino de tratamiento para rickettsiosis. Renombrado de†fecha_fin_trat_ricket.,,,,VacÌo,08/02/2022 00:00
med_trat_ricket,Num√©rico,n,0,Medicamento para el tratamiento para rickettsiosis 1=Doxiciclina 2=Cloramfenicol,0,0,0,0,1
des_ins_uni_trat_norm,Texto,0,0,Nombre de la instituci√≥n tratante normalizado,0,0,0,Vac√≠o,IMSS Bienestar
des_cual_lengua_imput,NumÈrico,n,,"Indicador de imputaciÛn de†des_cual_lengua. 0=Valor original, 1=Valor imputado con 'Otro'",,,,0,0
otros_especifique_imput,NumÈrico,n,,"Indicador de imputaciÛn de†otros_especifique. 0=Valor original, 1=Valor imputado con 'No'",,,,0,0
contacto_otr_imput,NumÈrico,n,,"Indicador de imputaciÛn de†contacto_otr. 0=Valor original, 1=Valor imputado con 'Se ignora'",,,,0,0
otro_sintoma_imput,NumÈrico,n,,"Indicador de imputaciÛn de†otro_sintoma. 0=Valor original, 1=Valor imputado con 'NO'",,,,0,0
otr_serv_atencion_imput,NumÈrico,n,,"Indicador de imputaciÛn de†otr_serv_atencion. 0=Valor original, 1=Valor imputado con 'Se ignora'",,,,0,0
temperatura_imput,NumÈrico,n,,"Indicador de imputaciÛn de†temperatura. 0=Valor original, 1=Valor imputado con mediana",,,,0,0
compromiso_organos_binario,NumÈrico,n,,"ClasificaciÛn binaria derivada de†compromiso_organos. 0=Ambiguo/no reconocido, 1=SÌ presenta compromiso, 2=No presenta compromiso",,,,0,2
tiempo_res_hosp,NumÈrico,,DÌas,DÌas entre†fec_sol_aten†y†fec_ini_estudio. Tiempo de respuesta hospitalaria para inicio de estudios.,,,,VacÌo,0
dias_estudio,NumÈrico,,DÌas,DÌas entre†fec_ini_estudio†y†fec_fin_estudio. DuraciÛn del perÌodo de estudio epidemiolÛgico.,,,,VacÌo,2
demora_pac,NumÈrico,,DÌas,DÌas entre†fec_ini_signos_sint†y†fec_sol_aten. Demora del paciente en buscar atenciÛn desde inicio de sÌntomas.,,,,VacÌo,3
demora_pac_fiebre,NumÈrico,,DÌas,DÌas entre†fec_ini_fiebre†y†fec_sol_aten. Demora del paciente en buscar atenciÛn desde inicio de fiebre.,,,,VacÌo,2
demora_pac_signos_alarma,NumÈrico,,DÌas,DÌas entre†fec_ini_signos_alarma†y†fec_sol_aten. Demora del paciente desde inicio de signos de alarma hasta solicitud de atenciÛn. Valores negativos indican que los signos aparecieron despuÈs de solicitar atenciÛn.,,,,VacÌo,1
fec_ini_estudio_corr,Booleano,,,"Indicador de correcciÛn de†fec_ini_estudio. True=Fecha corregida por error de captura, False=Fecha original.",,,,False,False
fec_fin_estudio_corr,Booleano,,,"Indicador de correcciÛn de†fec_fin_estudio. True=Fecha corregida por error de captura, False=Fecha original.",,,,False,False
fec_sol_aten_corr,Booleano,,,"Indicador de correcciÛn de†fec_sol_aten. True=Fecha corregida por error de captura, False=Fecha original.",,,,False,False
fec_ini_signos_alarma_corr,Booleano,,,"Indicador de correcciÛn de†fec_ini_signos_alarma. True=Fecha corregida por error de captura, False=Fecha original.",,,,False,False
fec_ini_signos_sint_corr,Booleano,,,"Indicador de correcciÛn de†fec_ini_signos_sint. True=Fecha corregida por error de captura, False=Fecha original.",,,,False,False
fec_ini_fiebre_corr,Booleano,,,"Indicador de correcciÛn de†fec_ini_fiebre. True=Fecha corregida por error de captura, False=Fecha original.",,,,False,False
